normal_cc_patient8_rep2	normal_cc_patient8_rep1	normal_cc_patient7_rep1	normal_cc_patient3_rep2	normal_cc_patient7_rep2	normal_cc_patient3_rep1	normal_cc_patient1_rep2	normal_cc_patient2_rep2	normal_cc_patient6_rep1	normal_cc_patient6_rep2	normal_cc_patient2_rep1	normal_cc_patient1_rep1	cancer_cc_patient7_rep2	cancer_cc_patient3_rep2	cancer_cc_patient8_rep1	cancer_cc_patient3_rep1	cancer_cc_patient6_rep2	cancer_cc_patient7_rep1	cancer_cc_patient1_rep1	cancer_cc_patient2_rep2	cancer_cc_patient6_rep1	cancer_cc_patient8_rep2	cancer_cc_patient2_rep1	cancer_cc_patient1_rep2
Q9UBE0	21038	28037	27651	28459	19498	27149	27205	31811	24325	18261	33659	24671	26654	26005	48576	26957	30517	38094	40914	47835	35712	29078	44113	45120
Q9BSJ8	38577	43835	59370	57563	43370	49577	60310	70406	51237	37385	67804	51134	45894	30788	113950	35891	33753	62466	41185	139305	52750	80761	113386	42150
P02656	145489	191212	153722	281124	110053	276229	246950	130393	187400	133036	117811	231306	133566	124223	121262	161075	166061	177344	274731	155864	194500	86180	141656	284693
O95741	5087	6608	13301	16152	9097	14445	20128	6994	7824	5350	6239	18527	4066	3722	5700	6111	3580	5878	4969	7957	4094	5558	7872	5472
P09651	58367	82070	110596	110674	62897	104072	118739	108445	99804	68386	113987	116804	71776	82866	175963	101960	83659	95034	103836	170174	118675	118167	162475	118185
P55809	193519	248441	126153	135511	89809	127128	132116	146314	159276	114049	144444	124316	54583	68415	122041	88960	85197	96055	101089	99304	117222	84064	137794	97593
Q15631	54443	86715	92551	109197	64331	98140	113144	106587	95440	63663	100269	91593	58171	75856	114483	92826	92312	97456	102971	129621	142954	78399	112840	110008
Q96EY1	67848	84499	93435	95789	58510	94452	94479	101829	97324	68180	95158	89540	45658	45622	127651	55847	51818	52474	92750	81800	62290	91185	79844	93422
Q16706	26140	33725	24067	31524	16609	25677	51348	32349	23813	13736	28220	46112	66908	73982	129296	125118	61013	103429	66723	105634	101223	49525	99927	74885
Q9UID3	1643	2296	3131	1794	2226	1783	1794	2871	2022	1515	2785	1314	2729	1773	2918	1474	2296	2254	1011	4129	2288	4957	3380	1241
O14548	108468	142112	127249	141827	87963	130983	109935	120840	129415	88964	122690	100985	36694	33353	62976	47584	41974	47506	40989	56385	50926	47229	53411	40276
O95164	8842	11352	12732	12734	9218	13247	12804	15683	12157	9165	13273	13412	9323	8311	15369	9972	9473	14042	11461	21002	10249	11418	20074	12847
P54710	43866	59911	24541	27726	16225	25108	27605	34415	28422	18075	28816	27884	16498	15000	26472	21100	18521	25646	22061	33388	24487	19644	33199	21857
P22570	199171	269495	243809	254415	177993	227294	248230	246197	207931	168464	225548	220319	233296	174673	300324	198427	211235	301620	206002	314393	257352	232661	276200	182858
P80723	22715	32773	31481	27723	21414	25536	33964	23566	28950	19122	21175	31861	9410	10201	50004	14658	7393	14387	17845	73403	9108	31307	67686	20413
P41252	52492	71055	87601	89218	57840	77971	77116	87215	84160	41437	85640	74565	52564	71284	103443	84453	56147	99297	82087	167540	89985	80441	166932	99812
O60443	9995	13094	15202	15458	10695	15207	12567	18069	14379	8852	16018	13145	9835	12880	25653	17576	9598	14896	14056	26729	12334	19668	24709	14745
P01019	86160	119281	135756	158078	95484	133244	129924	179599	112129	79251	159325	109589	125056	92907	114543	167542	89677	219929	155766	118454	145205	67588	96884	173706
Q86VP6	172568	226267	273928	276903	197690	214046	267119	317239	243855	136084	314573	232552	217462	214314	327947	308259	266096	302623	371269	439271	301764	254756	398101	354174
O43865	59489	74034	88517	80147	63553	73236	82573	85649	87657	64591	85299	73838	83471	78002	184910	99103	67026	106629	91069	190719	82479	123699	192207	96929
P21980	93093	142502	200982	90874	123312	84644	154170	297261	98098	59435	284176	171468	198236	690887	882492	967142	231071	277017	813968	1514343	294049	637838	1445503	842203
P05388	114219	157180	172036	155275	129664	143559	172154	187478	166890	125827	160080	167367	112299	128953	285716	151143	148516	145534	160121	423398	171178	212943	368985	179677
Q8N5J2	67149	87231	92180	97956	62132	97828	88674	92396	94239	65446	95787	96020	58558	61718	101506	72542	58698	85917	71207	92853	80843	65288	99468	70327
P17948	60739	96556	61302	75500	35073	86529	88487	92065	77035	34020	75751	88378	70327	79598	54185	120137	63429	107493	100846	134505	87589	38627	122920	101141
P07741	269876	367657	397194	420515	271942	378194	400637	363176	427405	309024	396883	380000	377976	315334	686890	442583	327400	493066	387878	474885	443220	467576	444730	395047
Q96EK6	23089	29887	33259	39917	23798	36795	34949	38037	31836	22823	32673	29410	40450	34566	51813	49444	27011	48985	44530	49773	37767	32769	46264	50119
Q9H3S7	5962	11431	12253	8999	5782	9195	11680	10268	8099	4915	8991	11376	8452	6365	8213	8295	10101	10590	8343	9412	11171	6019	8588	8147
P50990	133341	181125	243779	208338	158112	189140	182369	250154	202407	124869	244047	179130	164096	183381	311124	251959	204670	231393	237887	300838	306855	212604	294768	240474
Q14315	118126	166767	225663	112068	154409	108030	164703	145105	99470	72788	130266	172648	193887	142719	473109	176630	173503	276157	240837	315791	228377	351972	297500	260477
P14868	139486	183301	202534	189577	147356	165807	367089	196511	195982	134171	195985	183712	235738	283669	344961	559149	223635	318612	346645	262733	265847	234882	251935	193221
P29992	64459	98417	98421	98523	58471	97531	85131	92510	100251	60721	93691	91976	53302	45115	86820	62368	47141	79878	74654	77216	70168	55581	84915	78796
Q9NYF8	39244	64591	77266	97558	54390	87587	108191	97029	89145	61256	76051	82544	31209	35081	58475	41076	47732	50397	43977	62492	68975	49118	49775	46434
Q9UBN7	50400	66828	87984	100624	55030	86898	111132	73386	91679	66762	73030	108620	44890	45966	75213	57627	52506	59694	65646	80745	69510	52371	76410	71349
P00325	359546	482704	289122	275583	194156	220039	319125	162477	169036	122025	178201	286766	81756	97721	116466	139447	52645	87642	95957	65114	59030	88822	59846	86011
O75264	76361	116625	99594	69336	53275	74336	88058	167445	85139	50852	101511	92771	46757	46276	64140	48154	44912	108916	67714	76175	64042	45962	69800	65809
P03952	17539	18794	20536	22023	21323	23413	22053	26038	25408	16298	21375	18124	16887	15748	18682	20833	18749	28710	33573	32332	20613	13397	24766	36530
O76041	14674	18578	18842	25207	12565	22848	18516	21885	20332	14793	23054	19667	9530	7543	8830	10726	11268	13983	8811	11327	14860	6880	11479	8993
P16870	13572	17674	22197	21108	14624	18762	21995	21789	18863	13508	22178	20191	17228	15882	34885	23235	14980	24932	24584	60242	22642	22673	56268	25774
P49327	247855	328175	264320	163446	207742	279920	116822	195794	172383	142628	360935	207976	274413	147995	180957	131813	146211	292912	137198	247333	167473	140510	307165	49991
P17096	14598	18625	21451	23033	14318	20405	19277	21915	19257	14884	20638	18745	16148	16572	44116	16041	15728	23369	22018	41639	23807	23907	38739	23989
Q15029	74163	92556	82738	68302	64201	72032	100800	91465	75490	51411	79992	67063	77532	72979	115080	76291	79924	98250	97101	124235	90261	83440	107949	107949
O43570	54478	71090	80168	78707	53734	73408	71135	110442	71173	51831	103350	64923	71680	38183	98588	44355	61202	90126	55305	102575	58259	66175	97175	62490
P50453	95180	114526	91130	95419	66107	84125	101717	105292	103474	75996	102446	108195	95466	119572	144503	161949	92569	138388	123462	157429	112109	101551	151002	134396
P08123	102386	135061	149378	160426	65883	146656	148431	110730	122630	83030	100829	138416	107330	98186	206616	128025	98141	162904	177700	252826	123151	147749	237338	196547
Q9Y6I9	3385	4873	5499	6103	3474	5169	5215	6031	5110	3070	6069	4984	2645	3943	5587	4742	3675	4176	4876	10656	5300	4548	8424	4467
Q9BQ69	82266	109957	165130	218042	117597	188381	175304	132996	191189	123139	125297	176104	34538	29057	78211	28201	39182	45435	34813	58819	39179	57206	50499	36880
O15460	30513	39062	52396	58987	35648	52449	51277	54814	48478	33737	51192	45506	32824	29642	79583	35885	35169	41554	47094	148011	45010	62111	137032	60771
