N1_1	N2_1	N3_1	N4_1	N1_2	N2_2	N3_2	N4_2	N1_3	N2_3	N3_3	N4_3
P09110	67676.66667	66884.88889	61003.79167	59746.56944	56105.16667	61003.79167	55235.13889	68803.29167	98289.36111	76499.83333	77642.91667	109893.0972
P60228	3113.583333	546.9583333	NA	7153.652778	3433.875	NA	4401.791667	NA	3218	4463.875	3234.916667	9038.125
P05166	132196.8056	137519.9167	148942.2639	139648.8333	172888.9444	132676.9444	149539.3611	150667.0417	167952.9722	137519.9167	143400.8333	144206.6944
Q96RP9	52532.40278	546.9583333	44111.61111	40576.13889	48027.15278	NA	40399.01389	37181.36111	42165.79167	NA	49551.06944	503.0416667
Q15417	44449.86111	51096.34722	46160.95833	47344.05556	40757.47222	51543.91667	46561.72222	29429.56944	25739.54167	49470.625	43845.36111	54258.86111
P62136	20707.95833	26327.38889	19328.88889	20152.83333	20820.88889	24079.91667	21426.01389	18755.90278	14410.90278	20793.13889	19667.125	27164.75
P54868	14462.66667	14865.51389	13852.08333	14483.73611	17938.77778	13802.80556	14410.90278	14015.75	13515.25	12246.40278	12474.70833	17234.44444
P62820	NA	546.9583333	NA	18868.75	16407.54167	NA	NA	NA	NA	NA	20100.11111	19697.55556
Q9UL46	22164.91667	16598.05556	18601.375	37086.45833	38327.15278	24934.22222	16598.05556	15424.90278	20368.79167	13706.69444	15908.86111	15513.81944
P27169	11279.02778	546.9583333	14766.18056	14518.72222	10576.97222	14518.72222	13909.45833	NA	11735.73611	13768.48611	13515.25	503.0416667
O75340	979.1666667	546.9583333	NA	NA	NA	NA	NA	5718.291667	NA	5209.388889	NA	503.0416667
Q8NCW6	29913.19444	546.9583333	NA	NA	35510.27778	19967.59722	NA	NA	28773.86111	28420.66667	NA	26215.58333
P08237	46643.25	546.9583333	164205.9167	NA	68803.29167	NA	2696.333333	8519.416667	8400.875	NA	8704.236111	132196.8056
P04040	103613.5278	114377.6389	122369.0694	128890.9722	101483.2083	120801	134425.1806	132196.8056	112226.6389	122369.0694	127735.0833	126512.75
Q9H0W9	247464.375	255279.3194	227531.0556	249719.5556	189540.4722	247464.375	225455.0833	323807.4861	265847.9722	291778.1944	312599.6111	275986.6389
P46782	12428.65278	17309.77778	8654.416667	10722.45833	20614.30556	NA	11653.93056	10844.56944	12716.44444	17938.77778	23668.18056	503.0416667
P19823	33235.41667	33373.66667	34307.16667	34307.16667	26637.125	32629.66667	32367.34722	35889.16667	37618.93056	27596.23611	38253.04167	33585.04167
P31948	41746.66667	58454.55556	44778.90278	47836.06944	41046.80556	56420.86111	49794.27778	50436.05556	45068.59722	61899.625	50336.31944	53267.625
Q99714	167952.9722	139026.3611	127327.5972	136868.4444	168757.2361	158818.3056	153952.6667	142278.9722	164205.9167	161129.5833	140614.6667	165887.7361
P07384	30955.44444	546.9583333	26382.91667	15750.97222	27704.34722	29429.56944	12767.55556	20267.48611	26050.91667	18947.73611	24700.27778	503.0416667
Q15833	4571.875	546.9583333	NA	NA	1337.666667	NA	NA	NA	12882.43056	NA	6129.861111	503.0416667
P01861	104017.625	125111.4722	109520.9722	116250.9306	85843.94444	113441.5417	100630.3611	132676.9444	111719.8889	125111.4722	137886.9583	133281.8056
P36871	54829.84722	39391.70833	43234.34722	37552.33333	48709.90278	67093.11111	47344.05556	61899.625	52401.04167	66201.86111	71391.16667	65598.73611
Q01658	NA	27062.84722	24614.33333	28119.79167	22063.75	NA	NA	26821.18056	NA	31353.33333	32695.04167	27330.55556
P36542	117519.0556	120801	125597.4722	111291.3333	159883.5694	105915.0694	126512.75	96249.52778	105915.0694	90802	98289.36111	110897.5278
Q86UP2	12716.44444	25686.98611	14191.13889	17805.70833	25249.84722	18630.86111	20267.48611	29381.76389	23328.59722	19862.31944	26679.55556	34666.5
P08195	9038.125	546.9583333	5475.875	NA	8519.416667	NA	4636.555556	NA	8860.694444	NA	11083.27778	503.0416667
P42330	50200.40278	12057.54167	53073.51389	10162.875	39391.70833	27548.73611	48709.90278	44858.19444	44449.86111	38417.84722	53873.125	60176.06944
P26038	168757.2361	168757.2361	163487.0833	150120.6389	186759.8889	150120.6389	173783.9167	152917.5278	175860.4722	152917.5278	167952.9722	183556.0556
P09104	170459	178523.4167	161129.5833	191907.25	127327.5972	164883.1111	157874.1667	NA	NA	229306.0833	218209.0278	503.0416667
P07148	275986.6389	355338.7778	385167.9722	385167.9722	334671.4444	368976.1667	389577.6389	376802.3056	317979.4167	357762.5833	366737.25	396441.75
P05107	21004.59722	25969.72222	26006.95833	22201.625	20267.48611	25249.84722	19575.34722	20735.02778	12767.55556	20152.83333	17333.5	21661.125
O75534	13271.23611	546.9583333	17434.05556	16356.11111	15175.56944	NA	19067.30556	NA	NA	15446.70833	19134.77778	20100.11111
